feature,importance
incident_severity_Major Damage,0.06274630714342921
insured_hobbies_5,0.03410815323051767
property_claim,0.0236284763400735
insured_zip,0.023575041856720054
vehicle_claim,0.022878709783502805
months_as_customer,0.022211970466352135
injury_claim,0.02091846033299846
policy_number,0.0204652314505089
total_claim_amount,0.020399222289059306
policy_annual_premium,0.0181956303145199
age,0.017981103223684524
incident_hour_of_the_day,0.016197444385770268
incident_severity_Total Loss,0.015156114500648306
capital-loss,0.014250814298725663
incident_severity_Minor Damage,0.014052267885856718
auto_year,0.01324589668964784
capital-gains,0.012377325302152544
insured_hobbies_6,0.010312251994633339
witnesses,0.009330723670949163
number_of_vehicles_involved,0.007046226215871746
